2025-04-28 16:56:17,107 INFO    MainThread:79908 [wandb_setup.py:_flush():68] Current SDK version is 0.19.10
2025-04-28 16:56:17,108 INFO    MainThread:79908 [wandb_setup.py:_flush():68] Configure stats pid to 79908
2025-04-28 16:56:17,108 INFO    MainThread:79908 [wandb_setup.py:_flush():68] Loading settings from /home/alien/.config/wandb/settings
2025-04-28 16:56:17,108 INFO    MainThread:79908 [wandb_setup.py:_flush():68] Loading settings from /home/alien/Code/stackleberg_game/MARL/wandb/settings
2025-04-28 16:56:17,108 INFO    MainThread:79908 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-04-28 16:56:17,108 INFO    MainThread:79908 [wandb_init.py:setup_run_log_directory():724] Logging user logs to logs/drqn_64_0.0001_1745855776/wandb/run-20250428_165617-fc89xtj1/logs/debug.log
2025-04-28 16:56:17,108 INFO    MainThread:79908 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to logs/drqn_64_0.0001_1745855776/wandb/run-20250428_165617-fc89xtj1/logs/debug-internal.log
2025-04-28 16:56:17,108 INFO    MainThread:79908 [wandb_init.py:init():852] calling init triggers
2025-04-28 16:56:17,108 INFO    MainThread:79908 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'algorithm': 'drqn', 'task_id': 1, 'hidden_size': 64, 'learning_rate': 0.0001, 'gamma': 0.9, 'epsilon': 0.1, 'epsilon_decay': 0.995, 'epsilon_min': 0.01, 'batch_size': 32, 'buffer_size': 10000, 'sequence_length': 8, 'use_qmix': False, 'seed': 42, 'lstm_layers': 1, '_wandb': {}}
2025-04-28 16:56:17,108 INFO    MainThread:79908 [wandb_init.py:init():893] starting backend
2025-04-28 16:56:17,108 INFO    MainThread:79908 [wandb_init.py:init():897] sending inform_init request
2025-04-28 16:56:17,112 INFO    MainThread:79908 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-04-28 16:56:17,112 INFO    MainThread:79908 [wandb_init.py:init():907] backend started and connected
2025-04-28 16:56:17,112 INFO    MainThread:79908 [wandb_init.py:init():1002] updated telemetry
2025-04-28 16:56:17,117 INFO    MainThread:79908 [wandb_init.py:init():1026] communicating run to backend with 90.0 second timeout
2025-04-28 16:56:17,554 INFO    MainThread:79908 [wandb_init.py:init():1101] starting run threads in backend
2025-04-28 16:56:17,589 INFO    MainThread:79908 [wandb_run.py:_console_start():2566] atexit reg
2025-04-28 16:56:17,589 INFO    MainThread:79908 [wandb_run.py:_redirect():2414] redirect: wrap_raw
2025-04-28 16:56:17,589 INFO    MainThread:79908 [wandb_run.py:_redirect():2483] Wrapping output streams.
2025-04-28 16:56:17,589 INFO    MainThread:79908 [wandb_run.py:_redirect():2506] Redirects installed.
2025-04-28 16:56:17,590 INFO    MainThread:79908 [wandb_init.py:init():1147] run started, returning control to user process
2025-04-28 16:56:17,594 INFO    MainThread:79908 [wandb_watch.py:_watch():71] Watching
2025-04-28 16:56:17,594 INFO    MainThread:79908 [wandb_watch.py:_watch():71] Watching
2025-04-28 16:56:17,594 INFO    MainThread:79908 [wandb_watch.py:_watch():71] Watching
2025-04-28 16:56:17,629 INFO    MsgRouterThr:79908 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 2 handles.
